sampleTimeStamp,groundSteering,output
1584543601538678,0,-0.0295609
1584543602240532,-0,0.0319755
1584543602340623,-0,0.0319755
1584543602438522,-0,0.0401465
1584543602539485,-0,0.0540063
1584543602641277,-0,0.221075
1584543602737980,-0,0.221075
1584543602837932,-0,0.221075
1584543602937746,-0,0.221075
1584543603037657,-0,0.221075
1584543603144095,-0,0.221075
1584543603240807,-0,0.221075
1584543603337661,-0,0.0502217
1584543603437809,-0,0.0547984
1584543603538544,-0,0.221075
1584543603639600,-0,0.0760652
1584543603737793,-0,-0.0370324
1584543603837501,-0,-0.0365454
1584543603937598,-0,-0.0380095
1584543604040350,-0,0.0370833
1584543604140075,-0,0.00769013
1584543604237823,-0,-0.128165
1584543604337644,-0,-0.0910232
1584543604437705,-0,-0.188668
1584543604538070,-0,-0.221075
1584543604639546,-0,-0.0633363
1584543604737739,-0,-0.221075
1584543604840101,0.0329887,-0.0528683
1584543604937965,0.0809714,0.0765863
1584543605037302,0.125962,-0.221075
1584543605139348,0.173945,-0.221075
1584543605237422,0.0929737,-0.221075
1584543605337238,0.0779797,-0.221075
1584543605437522,0.0239958,-0.221075
1584543605538240,0.0179946,-0.221075
1584543605643226,0.0209952,-0.208876
1584543605737754,0.0209952,-0.221075
1584543605837370,0.0749791,-0.221075
1584543605937452,0.083972,-0.221075
1584543606037416,0.0150029,-0.221075
1584543606139769,0.00900175,-0.221075
1584543606237049,0.0120023,-0.221075
1584543606337265,0.0569845,-0.221075
1584543606439417,0.098966,-0.221075
1584543606538861,0.125962,-0.221075
1584543606639140,0.125962,-0.221075
1584543606737260,0.128963,-0.221075
1584543606837061,0.128963,-0.221075
1584543606936887,0.128963,-0.221075
1584543607037208,0.128963,-0.221075
1584543607139115,0.125962,-0.221075
1584543607237076,0.0809714,-0.221075
1584543607337001,0.0719785,-0.221075
1584543607437062,0.0749791,-0.221075
1584543607537436,0.0749791,-0.221075
1584543607639169,0.11396,-0.221075
1584543607736785,0.11396,-0.221075
1584543607836792,0.116961,-0.221075
1584543607936984,0.170945,-0.221075
1584543608036719,0.140956,-0.221075
1584543608138865,0.122962,-0.221075
1584543608236804,0.110968,-0.0688133
1584543608336699,0.0120023,-0.0439134
1584543608436737,-0,0.0397952
1584543608537539,-0,0.221075
1584543608638886,-0,-0.106221
1584543608736934,-0,-0.221075
1584543608837139,-0,-0.221075
1584543608936872,-0,-0.0635396
1584543609036593,-0,-0.122016
1584543609139285,-0,-0.221075
1584543609236462,-0,-0.182085
1584543609336435,-0,-0.221075
1584543609436573,-0,-0.151946
1584543609537050,-0,-0.051997
1584543609638585,-0,-0.0352937
1584543609736530,-0,-0.181774
1584543609836327,-0,-0.08051
1584543609936351,-0,-0.112097
1584543610036535,-0,-0.0337252
1584543610142650,-0,0.0975576
1584543610236240,-0,0.142063
1584543610336514,-0.0119935,-0.0208108
1584543610436196,-0.0239869,0.221075
1584543610536843,-0.0779708,0.221075
1584543610638469,-0.0779708,0.221075
1584543610736399,-0.119952,0.221075
1584543610836378,-0.14994,0.221075
1584543610936345,-0.116952,0.221075
1584543611036135,-0.0419816,0.221075
1584543611138309,-0.0209863,0.221075
1584543611236360,-0,0.221075
1584543611336049,-0,0.221075
1584543611436259,-0,-0.107549
1584543611537245,-0,-0.0154608
1584543611642414,-0,-0.204134
1584543611738809,-0,0.221075
1584543611836445,0.0569845,-0.221075
1584543611935956,0.0569845,-0.0995222
1584543612036423,0.0569845,-0.111379
1584543612138286,0.0779797,-0.221075
1584543612235802,0.0779797,-0.221075
1584543612335811,0.0779797,-0.221075
1584543612435952,0.0779797,0.221075
1584543612539278,0.0629856,0.221075
1584543612638563,0.0629856,0.221075
1584543612736107,0.0629856,-0.221075
1584543612835893,0.0629856,-0.137926
1584543612936228,0.0629856,0.221075
1584543613036198,0.0659773,0.221075
1584543613137765,0.0659773,-0.193719
1584543613236147,0.0659773,-0.143299
1584543613336228,0.0659773,0.221075
1584543613435615,0.0659773,-0.221075
1584543613536987,0.0659773,-0.221075
1584543613638647,0.0599851,-0.221075
1584543613735650,0.0599851,-0.221075
1584543613835514,0.0599851,-0.221075
1584543613935676,0.0599851,-0.221075
1584543614035478,0.0629856,-0.221075
1584543614137498,0.0929737,-0.221075
1584543614235969,0.0929737,-0.221075
1584543614335878,0.083972,-0.221075
1584543614435684,0.0719785,-0.221075
1584543614536572,0.0629856,-0.221075
1584543614637577,0.0749791,-0.221075
1584543614735649,0.122962,-0.221075
1584543614835899,0.15295,0.221075
1584543614935364,0.0689779,-0.221075
1584543615035709,0.0239958,-0.221075
1584543615137522,0.0239958,0.0659258
1584543615235309,0.0239958,-0.00784769
1584543615335545,0.0209952,-0.221075
1584543615435456,0.0809714,-0.221075
1584543615535926,0.107968,-0.221075
1584543615637446,0.134955,-0.221075
1584543615735404,0.164943,-0.221075
1584543615835267,0.170945,-0.221075
1584543615935304,0.170945,-0.221075
1584543616035319,0.170945,-0.156659
1584543616137393,0.161943,-0.116527
1584543616238022,0.0209952,-0.208366
1584543616335535,-0,0.221075
1584543616435093,-0,0.221075
1584543616535743,-0,0.221075
1584543616637001,-0.140948,0.221075
1584543616735046,-0.290888,0.221075
1584543616835079,-0.290888,0.221075
1584543616935167,-0,0.221075
1584543617034946,-0,0.221075
1584543617136873,-0,0.221075
1584543617235421,-0,0.221075
1584543617335148,-0,0.0599147
1584543617434877,0.083972,0.107204
1584543617535695,0.110968,0.204245
1584543617636797,-0,0.221075
1584543617734833,-0,0.221075
1584543617834985,-0,0.210026
1584543617934791,-0,0.0600014
1584543618034746,-0.18593,0.0156388
1584543618136840,-0.122953,0.221075
1584543618234706,-0,0.0965656
1584543618334692,-0,0.221075
1584543618437432,-0,0.201569
1584543618536348,-0,-0.00774183
1584543618636732,0.15595,0.0593406
1584543618734878,0.281904,-0.21544
1584543618834572,-0,0.221075
1584543618934850,-0,0.221075
1584543619035132,-0,0.221075
1584543619136699,-0,0.221075
1584543619237285,-0.197923,0.221075
1584543619334789,-0,-0.111411
1584543619434498,-0,0.221075
1584543619535354,-0,0.221075
1584543619636857,-0,-0.221075
1584543619734420,0.131955,0.221075
1584543619834393,0.143957,0.0105756
1584543619935009,0.0629856,0.0948718
1584543620034717,-0,-0.146848
1584543620136150,-0,0.109544
1584543620234725,-0,0.105591
1584543620334383,-0,0.0432911
1584543620434269,-0,-0.00488547
1584543620535149,0.146949,-0.19394
1584543620636147,0.176946,-0.221075
1584543620734343,0.176946,-0.221075
1584543620834371,0.173945,-0.221075
1584543620934468,0.170945,-0.221075
1584543621034392,0.146949,-0.221075
1584543621136481,-0,-0.221075
1584543621234401,-0.122953,-0.221075
1584543621334398,-0.245906,0.00907782
1584543621434337,0.0239958,-0.221075
1584543621534814,0.137956,-0.221075
1584543621635919,0.161943,-0.221075
1584543621734482,0.134955,-0.221075
1584543621834044,0.134955,0.0516522
1584543621933970,0.122962,-0.221075
1584543622034210,0.125962,-0.221075
1584543622139386,0.125962,-0.221075
1584543622234467,0.125962,-0.221075
1584543622334111,0.125962,-0.221075
1584543622434218,0.125962,-0.221075
1584543622534688,0.125962,-0.221075
1584543622636439,0.122962,-0.221075
1584543622733887,0.125962,-0.221075
1584543622833946,0.125962,-0.221075
1584543622934052,0.125962,-0.221075
1584543623033781,0.125962,-0.221075
1584543623136069,0.125962,-0.221075
1584543623234327,0.128963,-0.221075
1584543623333718,0.125962,-0.221075
1584543623433694,0.128963,-0.221075
1584543623534546,0.119961,-0.0201516
1584543623639240,-0,-0.0839457
1584543623735309,-0,-0.221075
1584543623833909,-0,0.00568541
1584543623933812,-0,0.221075
1584543624033535,-0,0.221075
1584543624136384,-0,0.221075
1584543624233578,-0,0.221075
1584543624334155,0.0599851,0.0371547
1584543624433774,0.188939,-0.221075
1584543624534240,-0,-0.0873051
1584543624636060,-0,-0.111287
1584543624734632,-0,-0.209142
1584543624833861,-0,-0.154135
1584543624933989,-0,-0.221075
1584543625033517,-0,-0.0492987
1584543625135753,0.224928,0.028895
1584543625233279,0.224928,-0.0635387
1584543625333450,0.179937,-0.221075
1584543625433229,-0,0.19992
1584543625533918,-0,-0.0478611
1584543625635504,-0,-0.0360357
1584543625733185,-0,-0.0656571
1584543625833191,-0,-0.0754054
1584543625933388,-0,-0.0591763
1584543626033156,-0,-0.0958541
1584543626135882,-0,-0.0708362
1584543626233423,-0,-0.0958852
1584543626333022,-0,-0.21645
1584543626433006,-0,-0.174233
1584543626533954,-0,-0.221075
1584543626638860,-0,-0.104291
1584543626733648,-0,-0.131659
1584543626833130,0.0359893,-0.221075
1584543626932927,0.0659773,-0.156806
1584543627032924,0.0239958,-0.209866
1584543627135193,0.0239958,-0.155537
1584543627233844,0.0239958,-0.174304
1584543627332954,0.0239958,-0.122362
1584543627436016,0.0239958,0.00381301
1584543627533632,0.0209952,-0.176359
1584543627635004,-0,-0.0176823
1584543627732961,-0,-0.153608
1584543627833004,-0,-0.112039
1584543627932981,-0,-0.0229264
1584543628033035,-0,0.221075
1584543628134906,-0.00299171,-0.0946885
1584543628232821,-0.0329798,-0.0453973
1584543628332866,-0.116952,-0.167155
1584543628432725,-0.0869637,-0.114437
1584543628533303,-0,0.221075
1584543628635046,-0,-0.0547014
1584543628732643,-0,-0.168445
1584543628832895,-0,-0.0569852
1584543628933378,-0,0.0855961
1584543629032711,-0,0.221075
1584543629134592,-0,0.221075
1584543629233006,-0,-0.132016
1584543629332796,-0,-0.221075
1584543629432744,-0,-0.221075
1584543629533445,-0,-0.221075
1584543629638755,-0,-0.221075
1584543629735559,-0,0.221075
1584543629833271,0.0599851,-0.221075
1584543629932500,0.0150029,-0.221075
1584543630032571,-0,-0.221075
1584543630134849,0.00300058,-0.221075
1584543630232996,0.0899731,-0.221075
1584543630332372,0.0869726,-0.221075
1584543630432802,0.0899731,-0.221075
1584543630533538,0.161943,-0.221075
1584543630634568,0.188939,-0.221075
1584543630732505,-0,-0.221075
1584543630832548,-0,-0.221075
1584543630932548,0.0809714,-0.221075
1584543631032775,0.161943,-0.221075
1584543631134231,-0,-0.221075
1584543631234864,0.164943,-0.221075
1584543631332783,0.215927,-0.221075
1584543631432349,0.194931,-0.221075
1584543631532783,0.0719785,-0.221075
1584543631634049,0.209934,-0.221075
1584543631732086,0.209934,-0.221075
1584543631832034,0.0749791,-0.221075
1584543631932231,-0,-0.221075
1584543632034485,-0,0.146688
1584543632136403,-0,0.221075
1584543632232423,-0,0.221075
1584543632332040,0.137956,0.221075
1584543632431918,0.197932,0.221075
1584543632532748,0.0719785,0.221075
1584543632633643,0.0179946,0.221075
1584543632731843,-0,0.221075
1584543632832027,-0,0.221075
1584543632931827,-0,0.221075
1584543633031785,-0,0.221075
1584543633133732,-0,0.221075
1584543633231759,-0,0.221075
1584543633331735,-0,0.221075
1584543633431893,-0,0.221075
1584543633532407,-0,0.221075
1584543633633448,-0,0.221075
1584543633731849,-0,0.221075
1584543633831647,-0,0.221075
1584543633931616,-0,0.221075
1584543634031777,-0,0.221075
1584543634133426,-0,0.221075
1584543634231692,-0,0.221075
1584543634334412,-0,0.221075
1584543634432007,-0,0.221075
1584543634532360,-0,0.221075
1584543634633613,-0,0.221075
1584543634731566,-0,0.221075
1584543634831597,-0,0.221075
1584543634931626,-0,0.221075
1584543635031482,0.0329887,0.221075
1584543635133272,0.0959743,0.221075
1584543635231932,0.0929737,-0.221075
1584543635331395,0.0929737,-0.221075
1584543635431382,0.131955,0.221075
1584543635532384,0.125962,0.221075
1584543635633289,0.125962,0.221075
1584543635731450,0.125962,0.221075
1584543635831440,0.116961,0.221075
1584543635932252,0.101967,-0.221075
1584543636031275,0.101967,-0.221075
1584543636134298,0.101967,0.221075
1584543636231402,0.101967,0.221075
1584543636331176,0.0959743,-0.221075
1584543636431526,0.0869726,-0.221075
1584543636531844,0.0869726,0.221075
1584543636633566,0.0869726,-0.221075
1584543636731313,0.0779797,-0.221075
1584543636831568,-0,0.221075
1584543636931161,-0,-0.035582
1584543637031312,-0,-0.147581
1584543637133200,0.00300058,-0.00746552
1584543637233661,0.0899731,0.221075
1584543637333965,0.0899731,0.221075
1584543637431416,0.0899731,0.221075
1584543637532318,0.0899731,-0.0390576
1584543637633264,0.0629856,-0.214063
1584543637730858,0.0629856,0.0509034
1584543637831256,0.0629856,-0.0396938
1584543637931246,0.0629856,0.221075
1584543638030862,0.0150029,0.11037
1584543638133296,-0,0.14225
1584543638231139,-0.0269875,0.221075
1584543638331245,-0.122953,0.221075
1584543638430929,-0.122953,0.221075
1584543638531984,-0.125954,0.221075
1584543638633024,-0.128954,0.221075
1584543638730739,-0.0839631,0.221075
1584543638830767,-0.0809625,0.221075
1584543638930556,-0.0179858,0.221075
1584543639030588,-0.0209863,0.221075
1584543639133190,-0.038981,0.221075
1584543639230698,-0.0329798,-0.163066
1584543639330745,-0.0179858,-0.0142494
1584543639430864,-0.0359804,0.221075
1584543639534878,-0,0.221075
1584543639638157,-0,0.221075
