sampleTimeStamp;groundSteering
1584543401076709;-0.0719696
1584543406078633;-0.0719696
1584543406177873;-0.0719696
1584543401276965;-0
1584543401377276;-0
1584543401476958;-0
1584543401580290;-0
1584543401679196;-0
1584543401776777;-0
1584543401876734;-0
1584543401977398;-0.014994
1584543402077358;-0.014994
1584543402179635;-0.014994
1584543402276515;-0.014994
1584543402379030;-0.014994
1584543402477580;-0.0179858
1584543402577043;-0.0179858
1584543402678372;-0.0179858
1584543402776612;-0.0179858
1584543402876520;-0.0179858
1584543402976657;-0.014994
1584543403076847;-0.014994
1584543403178710;-0.0179858
1584543403276317;-0.0209863
1584543403376436;-0.0209863
1584543403476276;-0.0209863
1584543403576878;-0.0209863
1584543403678345;-0.0209863
1584543403776207;-0.0209863
1584543403876220;-0.0209863
1584543403976735;-0.0209863
1584543404076539;-0.0209863
1584543404178470;-0.0209863
1584543404276278;-0.0209863
1584543404376139;-0.0209863
1584543404476661;-0.0209863
1584543404576891;-0.0209863
1584543404678060;-0.0209863
1584543404776011;-0.0209863
1584543404876257;-0.0209863
1584543404976332;-0.0209863
1584543405075953;-0.0239869
1584543405178436;-0.0239869
1584543405276125;-0.0359804
1584543405376138;-0.0719696
1584543405476129;-0.0719696
1584543405576852;-0.0719696
1584543405677652;-0.0719696
1584543405776443;-0.0719696
1584543405875834;-0.0719696
1584543405975806;-0.0719696
1584543406078633;-0.0719696
1584543406177873;-0.0719696
1584543406275741;-0.0719696
1584543406375897;-0.0719696
1584543406475694;-0.116952
1584543406576420;-0.116952
1584543406677838;-0.116952
1584543406775743;-0.164934
1584543406878612;-0.179929
1584543406976092;-0.179929
1584543407075683;-0.218918
1584543407177703;-0.251907
1584543407275899;-0.191931
1584543407375504;-0.173936
1584543407475486;-0.176937
1584543407576361;-0.155942
1584543407682219;-0.0779708
1584543407776431;-0
1584543407876197;-0
1584543407975406;0.0779797
1584543408075420;0.188939
1584543408177772;-0
1584543408275465;-0
1584543408375575;-0
1584543408478606;-0
1584543408576173;-0
1584543408677866;-0
1584543408775854;-0
1584543408875259;-0
1584543408975594;-0.161934
1584543409075385;-0
1584543409178080;-0
1584543409275443;-0
1584543409375620;-0
1584543409475361;-0
1584543409575990;-0
1584543409677523;-0.107959
1584543409775656;-0
1584543409875065;-0
1584543409975452;-0
1584543410075068;0.0239958
1584543410177435;0.290888
1584543410275152;0.290888
1584543410374967;-0
1584543410474931;-0
1584543410575782;-0
1584543410680626;-0.236913
1584543410775289;-0
1584543410875151;-0
1584543410974928;-0
1584543411075099;-0
1584543411177277;0.290888
1584543411274771;-0
1584543411374794;-0
1584543411478069;-0
1584543411575721;-0
1584543411676912;-0
1584543411774848;-0
1584543411874816;-0
1584543411974741;-0
1584543412074815;-0.14994
1584543412176921;-0
1584543412278250;-0
1584543412376105;-0
1584543412474791;-0
1584543412575197;-0
1584543412677057;-0
1584543412774711;-0
1584543412875452;-0
1584543412974843;-0
1584543413074816;-0
1584543413176729;-0.0899643
1584543413274819;-0
1584543413374646;-0
1584543413474447;-0
1584543413575337;-0.0719696
1584543413677049;-0.152941
1584543413774675;-0.206925
1584543413874615;-0.206925
1584543413974257;-0.203924
1584543414074504;-0.203924
1584543414177091;-0.203924
1584543414274210;-0.203924
1584543414374196;-0.200924
1584543414474602;-0.200924
1584543414574815;-0.200924
1584543414676219;-0.200924
1584543414774528;-0.200924
1584543414874308;-0.191931
1584543414974031;-0
1584543415074286;-0
1584543415176123;-0
1584543415273964;-0
1584543415374124;-0
1584543415473957;-0
1584543415574750;-0
1584543415676197;-0
1584543415773836;-0
1584543415873822;-0
1584543415977202;-0
1584543416074025;0.158951
1584543416176059;-0
1584543416273943;-0
1584543416373731;-0
1584543416473708;-0
1584543416574534;-0
1584543416675775;-0
1584543416773656;-0
1584543416873958;-0
1584543416973617;-0
1584543417073614;-0
1584543417175880;-0.197923
1584543417273574;-0
1584543417373618;-0
1584543417476942;-0
1584543417574548;-0
1584543417675682;-0
1584543417773782;0.290888
1584543417874101;-0
1584543417973676;-0
1584543418073675;-0
1584543418175615;-0
1584543418273404;-0.209925
1584543418373627;-0
1584543418473828;-0
1584543418574252;-0
1584543418675835;-0
1584543418773323;-0
1584543418873318;-0.00599229
1584543418975926;-0
1584543419073817;-0
1584543419175414;-0.00599229
1584543419273527;-0.00899288
1584543419373214;-0.0629768
1584543419473205;-0.128954
1584543419574004;-0.110959
1584543419675211;-0.104958
1584543419773196;-0.0929649
1584543419874048;-0.0899643
1584543419973432;-0.0899643
1584543420073430;-0.0899643
1584543420175612;-0.0929649
1584543420273264;-0.0719696
1584543420373130;-0
1584543420475760;-0
1584543420573917;-0
1584543420675032;-0
1584543420773153;-0.0869637
1584543420872995;-0.239914
1584543420972909;-0.014994
1584543421073099;-0
1584543421174944;-0
1584543421275457;-0.119952
1584543421373385;-0.116952
1584543421473269;-0.116952
1584543421573703;-0.116952
1584543421675393;-0.116952
1584543421772792;-0.116952
1584543421872800;-0.116952
1584543421972963;-0.113951
1584543422072722;-0.110959
1584543422174397;-0.110959
1584543422272896;-0.0929649
1584543422372679;-0.0659685
1584543422472858;-0
1584543422573576;-0
1584543422674338;-0
1584543422772627;-0
1584543422872780;-0.122953
1584543422972877;-0
1584543423072677;-0
1584543423175106;-0.00599229
1584543423272866;-0.215918
1584543423372525;-0
1584543423472857;-0
1584543423576348;-0
1584543423674489;-0
1584543423772772;-0
1584543423872496;-0
1584543423972388;-0
1584543424072567;-0
1584543424175115;-0
1584543424272562;-0
1584543424375038;-0
1584543424472298;-0
1584543424573146;-0
1584543424674225;0.0509833
1584543424772782;0.0659773
1584543424872598;0.0749791
1584543424972384;0.0929737
1584543425072155;0.0869726
1584543425173901;0.0689779
1584543425272538;0.0689779
1584543425372589;0.0689779
1584543425472068;0.0689779
1584543425572869;0.0689779
1584543425673725;0.0689779
1584543425772051;0.0689779
1584543425872764;0.0689779
1584543425971966;0.0719785
1584543426072338;0.0689779
1584543426173748;0.0689779
1584543426271980;0.0719785
1584543426371884;0.0689779
1584543426472161;-0
1584543426572621;-0.0479827
1584543426673498;-0.14694
1584543426772283;-0.134946
1584543426871976;-0.128954
1584543426972452;-0.128954
1584543427071949;-0.128954
1584543427173790;-0.128954
1584543427275665;-0.107959
1584543427372201;-0.104958
1584543427471993;-0.104958
1584543427572353;-0.104958
1584543427673668;-0.104958
1584543427771687;-0.0959654
1584543427871849;-0
1584543427972033;-0
1584543428071643;-0
1584543428173468;-0
1584543428271716;-0.0929649
1584543428372046;-0.0929649
1584543428471706;-0.0929649
1584543428572332;-0.0929649
1584543428673479;-0.125954
1584543428771892;-0.191931
1584543428871687;-0.287896
1584543428972102;-0.290888
1584543429072166;-0.173936
1584543429173799;-0
1584543429272316;-0
1584543429371314;-0
1584543429471458;-0
1584543429572106;-0
1584543429673331;-0
1584543429771610;-0
1584543429871566;-0
1584543429971236;-0
1584543430071397;-0
1584543430177250;-0
1584543430271284;-0
1584543430371277;-0
1584543430471418;-0
1584543430571653;-0
1584543430673681;-0
1584543430771247;-0
1584543430870936;-0
1584543430973979;-0
1584543431072197;-0
1584543431173027;-0
1584543431271127;-0
1584543431370819;-0
1584543431470802;-0
1584543431571965;-0
1584543431672757;-0
1584543431771131;-0
1584543431873811;-0
1584543431971127;-0
1584543432070893;-0
1584543432172891;-0
1584543432270765;-0.122953
1584543432370755;-0.137947
1584543432470834;-0.134946
1584543432571962;-0.134946
1584543432672646;-0.134946
1584543432770821;-0.134946
1584543432870603;-0.134946
1584543432970579;-0.134946
1584543433071323;-0.134946
1584543433172656;-0.134946
1584543433270518;-0.134946
1584543433373834;-0.134946
1584543433470738;-0.140948
1584543433571210;-0.143948
1584543433672921;-0.143948
1584543433770467;-0.143948
1584543433870405;-0.125954
1584543433970832;-0.128954
1584543434070509;-0.116952
1584543434172926;-0
1584543434270599;-0
1584543434370366;-0
1584543434470425;-0
1584543434571450;-0
1584543434672949;-0
1584543434770296;-0
1584543434870436;-0
1584543434970285;-0
1584543435070265;-0
1584543435172841;-0
1584543435270334;-0
1584543435371168;-0
1584543435470624;-0
1584543435571124;-0
1584543435672738;-0
1584543435770577;-0
1584543435870811;-0
1584543435970384;-0
1584543436070216;-0
1584543436172469;-0
1584543436273229;-0
1584543436370572;-0
1584543436469980;-0
1584543436570538;-0
1584543436672341;-0
1584543436769875;0.0509833
1584543436869839;-0
1584543436970150;-0
1584543437072932;-0
1584543437176419;-0
1584543437270720;-0
1584543437369886;-0
1584543437469742;-0
1584543437571172;-0
1584543437672132;-0
1584543437769675;-0
1584543437870196;-0
1584543437973181;-0
1584543438069858;-0
1584543438171981;-0
1584543438269545;-0
1584543438369554;-0
1584543438469953;-0
1584543438570172;-0
1584543438671687;0.185939
1584543438772069;-0
1584543438869712;-0
1584543438969424;-0
1584543439069594;-0
1584543439171567;-0
1584543439269449;-0
1584543439369657;-0
1584543439469454;-0
1584543439572902;-0.0209863
1584543439673161;-0.0959654
1584543439769260;-0.104958
1584543439869243;-0.104958
1584543439969379;-0.104958
1584543440069200;-0.104958
1584543440171386;-0.104958
1584543440269523;-0.104958
1584543440369300;-0.104958
1584543440469117;-0.104958
1584543440569951;-0.104958
1584543440671333;-0.113951
1584543440769245;-0.155942
1584543440869235;-0.170936
1584543440969032;-0.167935
1584543441069005;-0.167935
1584543441171290;-0.167935
1584543441269244;-0.167935
1584543441369019;-0.167935
1584543441469140;-0.167935
1584543441569632;-0.167935
1584543441671467;-0.167935
1584543441769416;-0
1584543441868930;-0
1584543441969041;-0
1584543442069271;-0
1584543442171312;-0.014994
1584543442268736;-0.0359804
1584543442369313;-0.0359804
1584543442469178;-0.014994
1584543442569417;-0.014994
1584543442671150;-0.014994
1584543442768678;-0.014994
1584543442868960;-0.00299171
1584543442969208;-0.00899288
1584543443068575;-0.053975
1584543443170727;-0.053975
1584543443271691;-0.053975
1584543443368626;-0.053975
1584543443468522;-0.0359804
1584543443569604;-0
1584543443671081;-0
1584543443768527;-0
1584543443868673;-0
1584543443968423;-0
1584543444068564;-0
1584543444170756;-0
1584543444268572;-0
1584543444368650;-0
1584543444468630;-0
1584543444568997;-0
1584543444670392;0.119961
1584543444768476;-0
1584543444868652;-0
1584543444968194;-0
1584543445068344;-0
1584543445170349;-0
1584543445268286;0.149949
1584543445368391;0.239922
1584543445468374;0.224928
1584543445569043;-0
1584543445670485;-0
1584543445768591;-0.0449821
1584543445868237;-0.290888
1584543445968211;-0.290888
1584543446067994;-0.290888
1584543446170210;-0.22492
1584543446268794;-0.290888
1584543446368141;-0.290888
1584543446467981;-0.290888
1584543446568947;-0.290888
1584543446671098;-0.155942
1584543446768020;-0.155942
1584543446868070;-0.152941
1584543446967869;-0.191931
1584543447068250;-0.0869637
1584543447169961;0.290888
1584543447267850;0.290888
1584543447367900;0.0959743
1584543447467926;-0
1584543447568525;-0.0179858
1584543447669787;-0.230912
1584543447767870;-0.290888
1584543447867711;-0
1584543447967678;-0
1584543448067864;-0
1584543448169564;-0.272902
1584543448267637;-0.272902
1584543448367788;-0.275894
1584543448467811;-0
1584543448568246;-0.00899288
1584543448669464;-0.18893
1584543448767515;-0.242905
1584543448867544;-0
1584543448972042;-0
1584543449068403;-0
1584543449169435;-0.200924
1584543449267783;-0
1584543449367416;-0
1584543449467860;-0.143948
1584543449568259;-0.206925
1584543449669110;-0.209925
1584543449767771;-0.14994
1584543449870313;-0.134946
1584543449967562;-0
1584543450067607;0.290888
1584543450169589;0.290888
1584543450267308;0.197932
1584543450367226;-0
1584543450467477;-0.14994
1584543450567943;-0.257908
1584543450672667;-0.2639
1584543450767582;-0
1584543450867303;0.290888
1584543450967512;0.290888
1584543451067396;0.290888
1584543451168862;-0
1584543451267312;-0
1584543451367523;0.0150029
1584543451469785;0.0329887
1584543451568522;0.146949
1584543451669054;0.275903
1584543451767520;-0
1584543451867907;0.176946
1584543451967375;0.251916
1584543452067145;-0
1584543452168846;-0.0569756
1584543452269772;-0.0869637
