sampleTimeStamp,groundSteering,output
1584542923570308,0.0899731,0.0269633
1584542923669952,0.0689779,0.107118
1584542923771600,0.0689779,0.118639
1584542923869239,0.098966,0.118884
1584542923969427,0.098966,0.104912
1584542924069367,0.182938,0.146337
1584542924169237,0.212926,0.203205
1584542924271417,0.290888,0.280909
1584542924369480,0.290888,0.278212
1584542924469245,0.290888,0.293655
1584542924569196,0.290888,0.277477
1584542924670209,0.290888,0.298558
1584542924771130,0.242914,0.301989
1584542924869078,-0,0.290469
1584542924969589,-0,0.263015
1584542925069036,-0,0.0227963
1584542925169519,-0,0.0232865
1584542925271227,-0.053975,0.0147073
1584542925369196,-0,-0.0401999
1584542925468938,0.188939,-0.0281889
1584542925569118,-0,-0.0186292
1584542925669569,-0,0.129669
1584542925869316,0.0120023,0.0196097
1584542925968943,-0,0.0191194
1584542926068990,-0,0.0308853
1584542926169059,-0,0.00416706
1584542926270718,-0,0.0191194
1584542926368838,-0,-0.0139719
1584542926469005,-0,0.0134817
1584542926571959,-0,0.0269633
1584542926670037,-0,0.00612803
1584542926771407,0.0629856,0.00980484
1584542926868645,0.290888,0.00857924
1584542926968618,-0,0.0821156
1584542927068824,-0,0.279928
1584542927168582,-0,0.0894692
1584542927270557,-0,0.0210804
1584542927368744,-0,0.0107853
1584542927468511,-0,0.0183841
1584542927568478,-0.0269875,-0.0046573
1584542927669321,-0.290888,-0.0149524
1584542927770482,-0,-0.0166682
1584542927868508,-0,-0.216197
1584542927968628,-0,-0.0370133
1584542928068383,0.0479916,-0.018139
1584542928168365,0.221928,-0.0156878
1584542928270649,0.125962,0.0448572
1584542928368589,0.00600117,0.240464
1584542928468353,0.233921,0.259583
1584542928568496,0.206934,0.0394645
1584542928668987,0.197932,0.267427
1584542928770387,0.164943,0.271594
1584542928868447,0.164943,0.292675
1584542928968524,0.140956,0.305421
1584542929068242,0.0749791,0.325766
1584542929168373,0.0150029,0.281644
1584542929270720,-0,0.152465
1584542929368241,-0,0.054662
1584542929468408,-0,0.0198548
1584542929568176,-0,0.0355426
1584542929668918,-0,-0.00490242
1584542929770711,0.0899731,0.000245121
1584542929868279,0.185939,-0.00245121
1584542929968143,0.206934,0.136042
1584542930068226,0.173945,0.267672
1584542930168193,0.0539839,0.299538
1584542930270247,-0,0.286301
1584542930368209,-0,0.137268
1584542930468026,-0,0.0237767
1584542930568108,-0,0.0218158
1584542930668783,-0.239914,0.0291694
1584542930770086,-0,0.0144621
1584542930867886,-0,-0.151485
1584542930968044,-0,-0.0938814
1584542931067838,-0.137947,-0.052701
1584542931167829,-0,-0.0120109
1584542931270113,-0,-0.132365
1584542931367890,-0.152941,-0.0338267
1584542931467762,-0,-0.0338267
1584542931568052,-0,-0.184821
1584542931668399,-0.290888,-0.123541
1584542931769814,-0.290888,-0.0115207
1584542931868154,-0.290888,-0.148053
1584542931967822,-0,-0.191194
1584542932067654,-0,-0.215461
1584542932167939,-0.014994,-0.109079
1584542932269889,-0.290888,-0.0279438
1584542932367682,-0,-0.0335816
1584542932467890,-0,-0.147318
1584542932567630,-0.104958,-0.0188743
1584542932668291,-0.0989571,-0.00294145
1584542932769855,-0,-0.106873
1584542932867646,-0,-0.147563
1584542932967485,-0,-0.0397096
1584542933067674,-0.0599762,-0.0286792
1584542933167631,-0,0.0174036
1584542933269606,-0,-0.0656925
1584542933367577,-0,-0.0340718
1584542933467397,0.0120023,-0.0279438
1584542933567486,0.290888,-0.0127463
1584542933668186,0.290888,0.0122561
1584542933769426,-0,0.0480437
1584542933867690,-0,0.105647
1584542933968358,0.290888,0.0389743
1584542934067248,0.290888,-0.0171585
1584542934167357,0.257917,0.0973131
1584542934269825,-0,0.217422
1584542934368068,0.272911,0.237767
1584542934467313,0.290888,0.0745168
1584542934567479,0.290888,0.0914302
1584542934668053,-0,0.276006
1584542934769194,-0,0.229924
1584542934867295,0.188939,0.117658
1584542934967105,0.290888,0.0274536
1584542935067119,-0,0.169869
1584542935167288,-0,0.231394
1584542935269033,0.0150029,0.108589
